GEO.id,GEO.id2,GEO.display-label,HC01_VC118,HC02_VC118,HC03_VC118,HC04_VC118
Id,Id2,Geography,Estimate; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars),Percent Margin of Error; INCOME AND BENEFITS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Per capita income (dollars)
0500000US12029,12029,"Dixie County, Florida",17850,1664,(X),(X)
0500000US12031,12031,"Duval County, Florida",26543,339,(X),(X)
0500000US12033,12033,"Escambia County, Florida",24161,453,(X),(X)
0500000US12035,12035,"Flagler County, Florida",24360,847,(X),(X)
0500000US12037,12037,"Franklin County, Florida",20868,1833,(X),(X)
0500000US12039,12039,"Gadsden County, Florida",17834,668,(X),(X)
0500000US12041,12041,"Gilchrist County, Florida",21436,2486,(X),(X)
0500000US12043,12043,"Glades County, Florida",17879,2072,(X),(X)
0500000US12045,12045,"Gulf County, Florida",19631,1432,(X),(X)
0500000US12047,12047,"Hamilton County, Florida",14742,1291,(X),(X)
0500000US12049,12049,"Hardee County, Florida",16298,1282,(X),(X)
0500000US12051,12051,"Hendry County, Florida",16980,1420,(X),(X)
0500000US12053,12053,"Hernando County, Florida",21586,466,(X),(X)
0500000US12055,12055,"Highlands County, Florida",21117,895,(X),(X)
0500000US12057,12057,"Hillsborough County, Florida",27764,264,(X),(X)
0500000US12059,12059,"Holmes County, Florida",16468,1009,(X),(X)
0500000US12061,12061,"Indian River County, Florida",31882,1351,(X),(X)
0500000US12063,12063,"Jackson County, Florida",17196,734,(X),(X)
0500000US12065,12065,"Jefferson County, Florida",21080,1596,(X),(X)
